ISO3,Countries and areas,Region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
AFG,Afghanistan,SA,Least Developed,40.0,56.0,25.0,46.0,23.0,50.0,48.0,49.0,33.0,21.0
ALB,Albania,ECA,More Developed,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0
DZA,Algeria,MENA,Less Developed,6.0,6.0,5.0,8.0,4.0,12.0,6.0,5.0,3.0,2.0
AGO,Angola,SSA,Least Developed,15.0,17.0,14.0,28.0,10.0,31.0,26.0,16.0,6.0,4.0
ARM,Armenia,ECA,Less Developed,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
BGD,Bangladesh,SA,Least Developed,13.0,8.0,18.0,13.0,12.0,19.0,15.0,11.0,11.0,7.0
BRB,Barbados,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0
BLR,Belarus,ECA,More Developed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BLZ,Belize,LAC,Less Developed,9.0,9.0,10.0,12.0,4.0,15.0,13.0,9.0,4.0,2.0
BEN,Benin,SSA,Least Developed,41.0,47.0,36.0,48.0,31.0,65.0,52.0,42.0,31.0,18.0
BTN,Bhutan,SA,Least Developed,19.0,18.0,20.0,23.0,10.0,35.0,25.0,18.0,10.0,11.0
BIH,Bosnia and Herzegovina,ECA,More Developed,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0
BRA,Brazil,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
BFA,Burkina Faso,SSA,Least Developed,57.0,59.0,56.0,65.0,31.0,77.0,67.0,62.0,49.0,32.0
BDI,Burundi,SSA,Least Developed,29.0,28.0,31.0,31.0,20.0,49.0,35.0,26.0,20.0,22.0
KHM,Cambodia,EAP,Least Developed,25.0,25.0,26.0,26.0,20.0,40.0,29.0,24.0,17.0,15.0
CMR,Cameroon,SSA,Less Developed,19.0,22.0,16.0,28.0,10.0,40.0,27.0,16.0,10.0,5.0
CAF,Central African Republic,SSA,Least Developed,32.0,43.0,20.0,41.0,21.0,52.0,44.0,38.0,25.0,15.0
TCD,Chad,SSA,Least Developed,42.0,49.0,36.0,49.0,21.0,50.0,48.0,49.0,49.0,17.0
COL,Colombia,LAC,Less Developed,4.0,3.0,4.0,6.0,3.0,8.0,3.0,3.0,1.0,1.0
COM,Comoros,SSA,Least Developed,14.0,14.0,15.0,16.0,11.0,27.0,16.0,13.0,9.0,8.0
COG,Congo,SSA,Less Developed,7.0,8.0,6.0,10.0,5.0,14.0,10.0,8.0,2.0,2.0
CRI,Costa Rica,LAC,Less Developed,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,0.0
CIV,C̫te d'Ivoire,SSA,Less Developed,33.0,38.0,27.0,40.0,26.0,50.0,37.0,33.0,25.0,22.0
COD,Democratic Republic of the Congo,SSA,Least Developed,17.0,18.0,16.0,21.0,12.0,28.0,17.0,17.0,16.0,8.0
DOM,Dominican Republic,LAC,Less Developed,3.0,3.0,4.0,2.0,4.0,7.0,4.0,2.0,2.0,1.0
EGY,Egypt,MENA,Less Developed,10.0,10.0,10.0,11.0,8.0,15.0,13.0,9.0,9.0,2.0
SLV,El Salvador,LAC,Less Developed,15.0,15.0,14.0,20.0,11.0,28.0,17.0,10.0,7.0,6.0
SWZ,Eswatini,SSA,Less Developed,4.0,4.0,5.0,4.0,5.0,6.0,3.0,3.0,7.0,4.0
ETH,Ethiopia,SSA,Least Developed,31.0,31.0,30.0,33.0,22.0,48.0,40.0,28.0,24.0,20.0
GAB,Gabon,SSA,Less Developed,3.0,3.0,4.0,5.0,3.0,7.0,4.0,4.0,2.0,1.0
GMB,Gambia,SSA,Least Developed,33.0,35.0,30.0,45.0,23.0,43.0,42.0,44.0,24.0,12.0
GEO,Georgia,ECA,Less Developed,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0
GHA,Ghana,SSA,Less Developed,7.0,6.0,8.0,8.0,6.0,15.0,6.0,6.0,4.0,3.0
GTM,Guatemala,LAC,Less Developed,29.0,34.0,24.0,36.0,18.0,46.0,41.0,30.0,14.0,5.0
GIN,Guinea,SSA,Least Developed,46.0,54.0,38.0,62.0,26.0,72.0,59.0,57.0,39.0,20.0
GNB,Guinea-Bissau,SSA,Least Developed,23.0,26.0,20.0,27.0,18.0,28.0,26.0,27.0,20.0,16.0
GUY,Guyana,LAC,Less Developed,7.0,6.0,8.0,8.0,4.0,12.0,6.0,7.0,4.0,4.0
HTI,Haiti,LAC,Least Developed,6.0,5.0,7.0,8.0,3.0,14.0,7.0,3.0,3.0,3.0
HND,Honduras,LAC,Less Developed,26.0,22.0,30.0,35.0,15.0,37.0,29.0,23.0,13.0,16.0
IND,India,SA,Less Developed,7.0,8.0,7.0,8.0,6.0,15.0,7.0,5.0,3.0,1.0
IDN,Indonesia,EAP,Less Developed,7.0,6.0,8.0,9.0,5.0,11.0,8.0,6.0,5.0,3.0
IRQ,Iraq,MENA,Less Developed,21.0,28.0,15.0,30.0,17.0,36.0,24.0,19.0,13.0,11.0
JAM,Jamaica,LAC,Less Developed,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
JOR,Jordan,MENA,Less Developed,5.0,5.0,6.0,5.0,5.0,13.0,6.0,3.0,2.0,2.0
KAZ,Kazakhstan,ECA,Less Developed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEN,Kenya,SSA,Less Developed,3.0,3.0,3.0,4.0,2.0,10.0,2.0,1.0,1.0,1.0
KIR,Kiribati,EAP,Least Developed,10.0,5.0,15.0,11.0,9.0,16.0,11.0,11.0,9.0,3.0
KGZ,Kyrgyzstan,ECA,Less Developed,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
LAO,Lao People's Democratic Republic,EAP,Least Developed,20.0,22.0,18.0,22.0,15.0,32.0,20.0,18.0,12.0,13.0
LSO,Lesotho,SSA,Least Developed,14.0,9.0,19.0,18.0,7.0,23.0,20.0,13.0,6.0,5.0
LBR,Liberia,SSA,Least Developed,20.0,18.0,21.0,29.0,14.0,38.0,24.0,21.0,15.0,9.0
MDG,Madagascar,SSA,Least Developed,36.0,33.0,38.0,40.0,21.0,61.0,47.0,32.0,24.0,12.0
MWI,Malawi,SSA,Least Developed,8.0,8.0,8.0,8.0,5.0,14.0,9.0,8.0,6.0,4.0
MDV,Maldives,SA,Less Developed,4.0,4.0,4.0,6.0,0.0,6.0,6.0,4.0,2.0,0.0
MLI,Mali,SSA,Least Developed,59.0,63.0,55.0,68.0,32.0,83.0,77.0,67.0,51.0,29.0
MRT,Mauritania,SSA,Least Developed,41.0,42.0,40.0,52.0,28.0,62.0,51.0,40.0,31.0,17.0
MNG,Mongolia,EAP,Less Developed,4.0,3.0,5.0,4.0,4.0,6.0,3.0,5.0,3.0,5.0
MNE,Montenegro,ECA,More Developed,1.0,2.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0
MOZ,Mozambique,SSA,Least Developed,33.0,38.0,28.0,41.0,19.0,50.0,49.0,38.0,27.0,13.0
MMR,Myanmar,EAP,Least Developed,17.0,17.0,16.0,19.0,10.0,30.0,18.0,15.0,9.0,6.0
NAM,Namibia,SSA,Less Developed,12.0,12.0,11.0,13.0,10.0,16.0,16.0,9.0,13.0,3.0
NPL,Nepal,SA,Least Developed,4.0,4.0,4.0,5.0,4.0,6.0,7.0,4.0,2.0,1.0
NER,Niger,SSA,Least Developed,70.0,73.0,67.0,79.0,37.0,90.0,80.0,80.0,72.0,41.0
NGA,Nigeria,SSA,Less Developed,27.0,29.0,25.0,39.0,11.0,68.0,34.0,17.0,7.0,5.0
MKD,North Macedonia,ECA,More Developed,2.0,2.0,1.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0
PAK,Pakistan,SA,Less Developed,27.0,32.0,22.0,31.0,18.0,55.0,31.0,19.0,15.0,7.0
PAN,Panama,LAC,Less Developed,4.0,3.0,4.0,7.0,2.0,9.0,4.0,3.0,0.0,1.0
PRY,Paraguay,LAC,Less Developed,8.0,7.0,9.0,11.0,5.0,13.0,7.0,6.0,3.0,3.0
PER,Peru,LAC,Less Developed,7.0,7.0,7.0,9.0,6.0,13.0,7.0,6.0,4.0,3.0
PHL,Philippines,EAP,Less Developed,4.0,3.0,5.0,4.0,4.0,9.0,5.0,2.0,2.0,2.0
MDA,Republic of Moldova,ECA,More Developed,3.0,1.0,4.0,2.0,3.0,8.0,3.0,2.0,1.0,1.0
RWA,Rwanda,SSA,Least Developed,26.0,26.0,26.0,26.0,24.0,34.0,29.0,24.0,21.0,24.0
LCA,Saint Lucia,LAC,Less Developed,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0
STP,Sao Tome and Principe,SSA,Least Developed,8.0,7.0,9.0,11.0,7.0,15.0,12.0,6.0,7.0,2.0
SEN,Senegal,SSA,Least Developed,39.0,36.0,42.0,50.0,25.0,57.0,47.0,39.0,34.0,17.0
SRB,Serbia,ECA,More Developed,1.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
SLE,Sierra Leone,SSA,Least Developed,19.0,18.0,20.0,29.0,8.0,39.0,29.0,17.0,10.0,7.0
ZAF,South Africa,SSA,Less Developed,5.0,4.0,6.0,5.0,6.0,9.0,6.0,3.0,4.0,2.0
SSD,South Sudan,SSA,Least Developed,63.0,67.0,59.0,69.0,44.0,85.0,74.0,67.0,55.0,34.0
LKA,Sri Lanka,SA,Less Developed,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
PSE,State of Palestine,MENA,Less Developed,5.0,2.0,8.0,6.0,5.0,6.0,5.0,7.0,4.0,2.0
SDN,Sudan,SSA,Least Developed,21.0,25.0,16.0,26.0,8.0,33.0,31.0,22.0,11.0,3.0
SUR,Suriname,LAC,Less Developed,7.0,6.0,8.0,11.0,5.0,14.0,7.0,4.0,2.0,3.0
TJK,Tajikistan,ECA,Less Developed,3.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0
THA,Thailand,EAP,Less Developed,3.0,2.0,5.0,4.0,3.0,7.0,3.0,5.0,1.0,1.0
TLS,Timor-Leste,EAP,Least Developed,9.0,8.0,10.0,10.0,5.0,16.0,11.0,8.0,5.0,3.0
TGO,Togo,SSA,Least Developed,12.0,14.0,10.0,14.0,10.0,20.0,14.0,9.0,7.0,10.0
TON,Tonga,EAP,Less Developed,11.0,8.0,14.0,12.0,8.0,18.0,15.0,10.0,5.0,5.0
TTO,Trinidad and Tobago,LAC,Less Developed,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0
TUN,Tunisia,MENA,Less Developed,7.0,7.0,7.0,12.0,5.0,14.0,9.0,5.0,4.0,3.0
TUR,Turkey,ECA,Less Developed,3.0,3.0,2.0,3.0,2.0,6.0,2.0,1.0,2.0,0.0
TKM,Turkmenistan,ECA,Less Developed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UGA,Uganda,SSA,Least Developed,23.0,23.0,22.0,23.0,24.0,29.0,22.0,21.0,19.0,25.0
UKR,Ukraine,ECA,More Developed,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
TZA,United Republic of Tanzania,SSA,Least Developed,57.0,58.0,56.0,62.0,46.0,77.0,67.0,61.0,44.0,44.0
URY,Uruguay,LAC,Less Developed,9.0,11.0,7.0,9.0,9.0,8.0,2.0,7.0,21.0,1.0
VNM,Viet Nam,EAP,Less Developed,6.0,6.0,6.0,7.0,3.0,16.0,5.0,3.0,2.0,1.0
YEM,Yemen,MENA,Least Developed,22.0,32.0,12.0,27.0,8.0,45.0,27.0,19.0,12.0,4.0
ZMB,Zambia,SSA,Least Developed,23.0,27.0,20.0,29.0,14.0,42.0,32.0,23.0,17.0,9.0
ZWE,Zimbabwe,SSA,Less Developed,19.0,16.0,22.0,22.0,9.0,28.0,24.0,16.0,14.0,5.0
