ISO3,Countries and areas,Region
AFG,Afghanistan,SA
ALB,Albania,ECA
DZA,Algeria,MENA
AGO,Angola,SSA
ARM,Armenia,ECA
BGD,Bangladesh,SA
BRB,Barbados,LAC
BLR,Belarus,ECA
BLZ,Belize,LAC
BEN,Benin,SSA
BTN,Bhutan,SA
BIH,Bosnia and Herzegovina,ECA
BRA,Brazil,LAC
BFA,Burkina Faso,SSA
BDI,Burundi,SSA
KHM,Cambodia,EAP
CMR,Cameroon,SSA
CAF,Central African Republic,SSA
TCD,Chad,SSA
COL,Colombia,LAC
COM,Comoros,SSA
COG,Congo,SSA
CRI,Costa Rica,LAC
CIV,C̫te d'Ivoire,SSA
COD,Democratic Republic of the Congo,SSA
DOM,Dominican Republic,LAC
EGY,Egypt,MENA
SLV,El Salvador,LAC
SWZ,Eswatini,SSA
ETH,Ethiopia,SSA
GAB,Gabon,SSA
GMB,Gambia,SSA
GEO,Georgia,ECA
GHA,Ghana,SSA
GTM,Guatemala,LAC
GIN,Guinea,SSA
GNB,Guinea-Bissau,SSA
GUY,Guyana,LAC
HTI,Haiti,LAC
HND,Honduras,LAC
IND,India,SA
IDN,Indonesia,EAP
IRQ,Iraq,MENA
JAM,Jamaica,LAC
JOR,Jordan,MENA
KAZ,Kazakhstan,ECA
KEN,Kenya,SSA
KIR,Kiribati,EAP
KGZ,Kyrgyzstan,ECA
LAO,Lao People's Democratic Republic,EAP
LSO,Lesotho,SSA
LBR,Liberia,SSA
MDG,Madagascar,SSA
MWI,Malawi,SSA
MDV,Maldives,SA
MLI,Mali,SSA
MRT,Mauritania,SSA
MNG,Mongolia,EAP
MNE,Montenegro,ECA
MOZ,Mozambique,SSA
MMR,Myanmar,EAP
NAM,Namibia,SSA
NPL,Nepal,SA
NER,Niger,SSA
NGA,Nigeria,SSA
MKD,North Macedonia,ECA
PAK,Pakistan,SA
PAN,Panama,LAC
PRY,Paraguay,LAC
PER,Peru,LAC
PHL,Philippines,EAP
MDA,Republic of Moldova,ECA
RWA,Rwanda,SSA
LCA,Saint Lucia,LAC
STP,Sao Tome and Principe,SSA
SEN,Senegal,SSA
SRB,Serbia,ECA
SLE,Sierra Leone,SSA
ZAF,South Africa,SSA
SSD,South Sudan,SSA
LKA,Sri Lanka,SA
PSE,State of Palestine,MENA
SDN,Sudan,SSA
SUR,Suriname,LAC
TJK,Tajikistan,ECA
THA,Thailand,EAP
TLS,Timor-Leste,EAP
TGO,Togo,SSA
TON,Tonga,EAP
TTO,Trinidad and Tobago,LAC
TUN,Tunisia,MENA
TUR,Turkey,ECA
TKM,Turkmenistan,ECA
UGA,Uganda,SSA
UKR,Ukraine,ECA
TZA,United Republic of Tanzania,SSA
URY,Uruguay,LAC
VNM,Viet Nam,EAP
YEM,Yemen,MENA
ZMB,Zambia,SSA
ZWE,Zimbabwe,SSA
ARG,Argentina,LAC
